id;title;description;availability;condition;price;link;image_link;brand;google_product_category;fb_product_category;inventory;sale_price;sale_price_effective_date;item_group_id;gender;color;size;age_group;material;pattern;shipping;shipping_weight
90;Papel de Embrulho brilho - Pack 50 un.;;em stock;novo;23,38;;;;;;2;23,38;;;;;;;;;;
92;Papel de Embrulho riscas azuis - Pack 25 un.;papel embrulho, riscas;em stock;novo;10,77;;;;;;9;10,77;;;;;;;;;;
93;Papel de Embrulho riscas vermelho e ouro - Pack 25 un.;papel embrulho, riscas;em stock;novo;10,77;;;;;;9;10,77;;;;;;;;;;
94;Papel de Embrulho padrão floreado - Pack 25 un.;;em stock;novo;10,77;;;;;;15;10,77;;;;;;;;;;
96;Papel de Embrulho padrão multicolor - Pack 25 un.;papel embrulho, multicolor;em stock;novo;10,77;;;;;;9;10,77;;;;;;;;;;
97;Papel de Embrulho - Rolo propileno ouro 70 cm x 25 m;;em stock;novo;36,9;;;;;;6;36,9;;;;;;;;;;
98;Papel de Embrulho - Rolo cores planas - 70 cm x 100 m.;;em stock;novo;92,25;;;;;;13;92,25;;;;;;;;;;
99;Papel de Embrulho - Rolo cinza padrão e prata - 70 cm.;;em stock;novo;92,25;;;;;;1;92,25;;;;;;;;;;
100;Papel de Embrulho - Rolo com padrão 70 cm x 50 mt.;;em stock;novo;43,05;;;;;;5;43,05;;;;;;;;;;
101;Papel de Embrulho vermelho com padrão dourado - 70 cm x 100 mt.;;em stock;novo;92,25;;;;;;2;92,25;;;;;;;;;;
102;Papel de Embrulho - Rolo cinza com riscas brancas - 70 cm x 50 mt.;;em stock;novo;67,65;;;;;;1;67,65;;;;;;;;;;
103;Papel de embrulho - rolo branco com bolas douradas - 70 cm x 25 mt;;em stock;novo;36,9;;;;;;10;36,9;;;;;;;;;;
104;Papel de Embrulho - rolo prata brilho - 70 cm.;;em stock;novo;92,25;;;;;;2;92,25;;;;;;;;;;
106;Papel de Embrulho - Rolo branco com traços dourados - 70 cm.;;em stock;novo;92,25;;;;;;2;92,25;;;;;;;;;;
107;Papel de Embrulho - rolo rosa com bolas brancas - 70 cm x 50 mt.;;em stock;novo;67,65;;;;;;2;67,65;;;;;;;;;;
109;Papel de Embrulho - rolo padrão natal - 70 cm x 2 mt.;;em stock;novo;1,85;;;;;;48;1,85;;;;;;;;;;
111;Papel de Seda - Cores variadas - 50x70 cm (Resma);papel seda;em stock;novo;24,6;;;;;;48;24,6;;;;;;;;;;
112;Papel Sulfito - 60x80 cm (Resma);;em stock;novo;14,15;;;;;;5;14,15;;;;;;;;;;
116;Fita Brilho Amarelo;fita amarela, fita cor lisa;em stock;novo;2,21;;;;;;57;2,21;;;;;;;;;;
117;Fita Brilho Amarelo Torrado;fita amarela, fita cor lisa;em stock;novo;2,21;;;;;;94;2,21;;;;;;;;;;
118;Fita Brilho Bordeaux;fita cor lisa, fita bordeaux;em stock;novo;2,13;;;;;;106;2,13;;;;;;;;;;
119;Fita Brilho Castanho;fita cor lisa, fita castanha;em stock;novo;2,21;;;;;;24;2,21;;;;;;;;;;
120;Fita Brilho Laranja;fita cor lisa, fita laranja;em stock;novo;2,21;;;;;;52;2,21;;;;;;;;;;
121;Fita Brilho Laranja Claro;fita cor lisa, fita laranja;em stock;novo;2,21;;;;;;22;2,21;;;;;;;;;;
124;Fita Brilho Lilás;fita cor lisa, fita lilás;em stock;novo;2,13;;;;;;34;2,13;;;;;;;;;;
125;Fita Brilho Preta;;em stock;novo;2,21;;;;;;27;2,21;;;;;;;;;;
126;Fita Brilho Roxa;;em stock;novo;2,13;;;;;;4;2,13;;;;;;;;;;
127;Fita Brilho Verde;fita verde, fita cor lisa;em stock;novo;2,13;;;;;;37;2,13;;;;;;;;;;
128;Fita Brilho Verde Escuro;fita verde, fita cor lisa;em stock;novo;2,13;;;;;;6;2,13;;;;;;;;;;
129;Fita Brilho Verde Musgo;fita verde, fita cor lisa;em stock;novo;2,13;;;;;;16;2,13;;;;;;;;;;
130;Fita Brilho Coral;fita cor lisa, fita coral;em stock;novo;2,83;;;;;;6;2,83;;;;;;;;;;
132;Fita Brilho Azul Escuro;;em stock;novo;2,13;;;;;;26;2,13;;;;;;;;;;
134;Fita Brilho Azul Petróleo;;em stock;novo;2,21;;;;;;2;2,21;;;;;;;;;;
136;Fita Brilho Rosa;;em stock;novo;2,21;;;;;;6;2,21;;;;;;;;;;
137;Fita Brilho Verde Claro;;em stock;novo;2,21;;;;;;9;2,21;;;;;;;;;;
138;Fita Brilho Vermelho;;em stock;novo;2,21;;;;;;18;2,21;;;;;;;;;;
139;Fita Brilho Cinza;;em stock;novo;2,83;;;;;;3;2,83;;;;;;;;;;
140;Fita Brilho Prata;;em stock;novo;2,83;;;;;;3;2,83;;;;;;;;;;
141;Fita Brilho Azul Claro;;em stock;novo;2,21;;;;;;13;2,21;;;;;;;;;;
142;Fita Brilho Branca;;em stock;novo;2,21;;;;;;20;2,21;;;;;;;;;;
143;Fita Brilho Fuchsia;;em stock;novo;2,21;;;;;;19;2,21;;;;;;;;;;
144;Fita Brilho Verde Alface;;em stock;novo;2,21;;;;;;18;2,21;;;;;;;;;;
145;Fita Brilho Verde Tropa;;em stock;novo;2,21;;;;;;20;2,21;;;;;;;;;;
146;Fita Brilho Azul Turquesa;;em stock;novo;2,13;;;;;;20;2,13;;;;;;;;;;
149;Fita Padrão Riscado e Texturado;fita verde, fita padrão, textura, fita creme;em stock;novo;5,39;;;;;;28;5,39;;;;;;;;;;
150;Fita Padrão Quadrados e Rectangulos;fita padrão, fita azul, fita vermelha, fita ouro, fita rosa, fita fuchsia, fita lilás, quadrados;em stock;novo;6,25;;;;;;280;6,25;;;;;;;;;;
151;Fita Padrão Ondas;fita verde, fita padrão, fita vermelha, ondas;em stock;novo;8,47;;;;;;80;8,47;;;;;;;;;;
153;Fita Decorativa;fita ouro, fita prata;em stock;novo;11,27;;;;;;26;11,27;;;;;;;;;;
154;Fita Decorativa;fita ouro, fita prata;em stock;novo;12,89;;;;;;46;12,89;;;;;;;;;;
155;Fita Decorativa;fita ouro, fita prata;em stock;novo;13;;;;;;14;13;;;;;;;;;;
156;Fita Decorativa 25 mm x 25 mt;fita ouro;em stock;novo;16,19;;;;;;7;16,19;;;;;;;;;;
157;Fita Decorativa em rede 40 mm x 10 mt;fita ouro;em stock;novo;8,87;;;;;;2;8,87;;;;;;;;;;
158;Fita Decorativa Prasent 22 mm x 25 mt;fita ouro, fita prata;em stock;novo;16,19;;;;;;14;16,19;;;;;;;;;;
159;Fita Ecológica;fita verde, fita azul, fita rosa;em stock;novo;4,15;;;;;;88;4,15;;;;;;;;;;
160;Fita Mate Ouro Velho;;em stock;novo;5,47;;;;;;13;5,47;;;;;;;;;;
161;Fita Mate Azul Petróleo;;em stock;novo;5,26;;;;;;56;5,26;;;;;;;;;;
163;Fita Mate Azul Claro;fita azul, fita cor lisa;em stock;novo;5,26;;;;;;1;5,26;;;;;;;;;;
164;Fita Mate Castanha;fita cor lisa, fita castanha;em stock;novo;5,26;;;;;;3;5,26;;;;;;;;;;
165;Fita Mate Fuschia;fita cor lisa, fita fuchsia;em stock;novo;5,26;;;;;;6;5,26;;;;;;;;;;
170;Fita Mate Lilás;fita cor lisa, fita lilás;em stock;novo;5,26;;;;;;6;5,26;;;;;;;;;;
171;Fita Mate Rosa Velho;fita cor lisa, fita rosa;em stock;novo;5,26;;;;;;1;5,26;;;;;;;;;;
172;Fita Mate Verde;fita verde, fita cor lisa;em stock;novo;5,26;;;;;;2;5,26;;;;;;;;;;
173;Fita Mate Ouro Escuro;fita cor lisa, fita ouro;em stock;novo;4,87;;;;;;4;4,87;;;;;;;;;;
174;Fita Mate Ouro;fita cor lisa, fita ouro;em stock;novo;7;;;;;;3;7;;;;;;;;;;
175;Fita Mate Vermelha;fita cor lisa, fita vermelha;em stock;novo;7;;;;;;4;7;;;;;;;;;;
176;Fita Mate Prata;fita cor lisa, fita prata;em stock;novo;10,21;;;;;;2;10,21;;;;;;;;;;
178;Fita Metalizada Vermelha;fita cor lisa, fita vermelha;em stock;novo;6,33;;;;;;11;6,33;;;;;;;;;;
179;Fita Metalizada Azul Escuro;fita azul, fita cor lisa;em stock;novo;6,33;;;;;;6;6,33;;;;;;;;;;
180;Fita Metalizada Castanha;fita cor lisa, fita castanha;em stock;novo;6,33;;;;;;2;6,33;;;;;;;;;;
181;Fita Metalizada Fuschia;fita cor lisa, fita fuchsia;em stock;novo;6,33;;;;;;46;6,33;;;;;;;;;;
182;Fita Metalizada Prata;fita cor lisa, fita prata;em stock;novo;6,33;;;;;;58;6,33;;;;;;;;;;
183;Fita Metalizada Roxa;fita cor lisa, fita roxa;em stock;novo;6,33;;;;;;17;6,33;;;;;;;;;;
184;Fita Metalizada Verde;fita verde, fita cor lisa;em stock;novo;6,33;;;;;;6;6,33;;;;;;;;;;
187;Fita Metalizada Verde Escuro;fita verde, fita cor lisa;em stock;novo;6,33;;;;;;11;6,33;;;;;;;;;;
188;Fita Metalizada Rosa;fita cor lisa, fita rosa;em stock;novo;4,7;;;;;;2;4,7;;;;;;;;;;
189;Fita Padrão Vermelho;fita padrão, fita vermelha;em stock;novo;12,8;;;;;;5;12,8;;;;;;;;;;
190;Fita Metalizada Ouro;fita cor lisa, fita ouro;em stock;novo;6,33;;;;;;13;6,33;;;;;;;;;;
191;Fita Metalizada Azul Turquesa;fita azul, fita cor lisa;em stock;novo;4,7;;;;;;2;4,7;;;;;;;;;;
192;Fita Metalizada Lilás;fita cor lisa, fita lilás;em stock;novo;4,7;;;;;;15;4,7;;;;;;;;;;
193;Fita Padrão Prata com Corações;fita padrão, fita vermelha, fita prata;em stock;novo;8,54;;;;;;55;8,54;;;;;;;;;;
194;Fita Papel Azul Escuro;fita azul, fita cor lisa;em stock;novo;9,67;;;;;;30;9,67;;;;;;;;;;
195;Fita Papel Azul Petróleo;fita azul, fita cor lisa;em stock;novo;9,67;;;;;;32;9,67;;;;;;;;;;
196;Fita Papel Cinza;fita cor lisa, fita cinza;em stock;novo;9,67;;;;;;8;9,67;;;;;;;;;;
197;Fita Papel Ouro;fita cor lisa, fita ouro;em stock;novo;9,67;;;;;;63;9,67;;;;;;;;;;
198;Fita Papel Prata;fita cor lisa, fita prata;em stock;novo;9,67;;;;;;154;9,67;;;;;;;;;;
199;Fita Papel Preta;fita cor lisa, fita preta;em stock;novo;9,67;;;;;;81;9,67;;;;;;;;;;
200;Fita Papel Roxa;fita cor lisa, fita roxa;em stock;novo;9,67;;;;;;6;9,67;;;;;;;;;;
201;Fita Papel Verde Musgo;fita verde, fita cor lisa;em stock;novo;9,67;;;;;;14;9,67;;;;;;;;;;
202;Fita Papel Vermelha;fita cor lisa, fita vermelha;em stock;novo;9,67;;;;;;24;9,67;;;;;;;;;;
203;Fita Papel Vermelha Escura;fita cor lisa, fita vermelha;em stock;novo;9,67;;;;;;7;9,67;;;;;;;;;;
204;Fita Papel Lilás;fita cor lisa, fita lilás;em stock;novo;9,67;;;;;;26;9,67;;;;;;;;;;
205;Fita Papel Cobre;fita cor lisa, fita cobre;em stock;novo;8,98;;;;;;2;8,98;;;;;;;;;;
206;Fita Papel Bege;fita cor lisa, fita bege;em stock;novo;8,98;;;;;;3;8,98;;;;;;;;;;
207;Fita Papel Bordeaux;fita cor lisa, fita bordeaux;em stock;novo;8,98;;;;;;35;8,98;;;;;;;;;;
208;Fita Papel Verde;fita verde, fita cor lisa;em stock;novo;8,98;;;;;;7;8,98;;;;;;;;;;
209;Fita Papel Verde Escuro;fita verde, fita cor lisa;em stock;novo;8,98;;;;;;49;8,98;;;;;;;;;;
210;Fita Papel Vermelho Tijolo;fita cor lisa, fita vermelha;em stock;novo;8,98;;;;;;8;8,98;;;;;;;;;;
211;Fita Papel Azul Claro;fita azul, fita cor lisa;em stock;novo;9,67;;;;;;18;9,67;;;;;;;;;;
