id;title;description;availability;condition;price;link;image_link;brand;google_product_category;fb_product_category;inventory;sale_price;sale_price_effective_date;item_group_id;gender;color;size;age_group;material;pattern;shipping;shipping_weight
282;Saqueta Corte de Feijão - Pack 100 un.;Saqueta Corte de Feijão - Pack 100 un.;in stock;new;12,73;https://loja.mirapack.pt/sacos/282-570-saqueta-corte-de-feijao.html#/12-cor-natural/147-packs-100_un/151-dimensoes-186x32;https://loja.mirapack.pt/424-large_default/saqueta-corte-de-feijao.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;177;12,73;;;;;;;;;;
283;Saqueta de Papel Kraft Branco - Pack 125 un.;Saqueta de Papel Kraft Branco - Pack 125 un.;in stock;new;1,2;https://loja.mirapack.pt/saquetas/283-861-saqueta-de-papel-kraft.html#/8-cor-branco/240-packs-125_un/241-dimensoes-835x28;https://loja.mirapack.pt/564-large_default/saqueta-de-papel-kraft.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;197;1,2;;;;;;;;;;
284;Saco para Pão - Saqueta Kraft Natural - Pack 100 un.;Saco para Pão - Saqueta Kraft Natural - Pack 100 un.;in stock;new;29,27;https://loja.mirapack.pt/sacos/284-587-saco-para-pao-saqueta-kraft-natural.html#/12-cor-natural/147-packs-100_un/159-dimensoes-4510x85;https://loja.mirapack.pt/428-large_default/saco-para-pao-saqueta-kraft-natural.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;2;29,27;;;;;;;;;;
285;Saco Papel Corte Feijão c/ Pala;Saco Papel Corte Feijão c/ Pala;in stock;new;7,26;https://loja.mirapack.pt/sacos/285-724-saco-papel-corte-feijao-c-pala.html#/8-cor-branco/161-dimensoes-16x11x198/201-packs-10_un;https://loja.mirapack.pt/429-large_default/saco-papel-corte-feijao-c-pala.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;2;7,26;;;;;;;;;;
286;Saco Papel Gofrado Corte Feijão;Saco Papel Gofrado Corte Feijão;in stock;new;8,12;https://loja.mirapack.pt/sacos/286-721-saco-papel-gofrado-corte-feijao.html#/11-cor-preto/162-dimensoes-29x21x11/201-packs-10_un;https://loja.mirapack.pt/430-large_default/saco-papel-gofrado-corte-feijao.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;209;8,12;;;;;;;;;;
289;Saco Juta 1 Garrafa c/ Janela;Saco Juta 1 Garrafa c/ Janela;in stock;new;2,99;https://loja.mirapack.pt/sacos/289-593-saco-juta-1-garrafa-c-janela.html#/165-dimensoes-35x10x10;https://loja.mirapack.pt/432-large_default/saco-juta-1-garrafa-c-janela.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;645;2,99;;;;;;;;;;
295;Saco Juta 2 Garrafas c/ Janela;Saco Juta 2 Garrafas c/ Janela;in stock;new;4,21;https://loja.mirapack.pt/sacos/295-594-saco-juta-2-garrafas-c-janela.html#/166-dimensoes-35x20x10;https://loja.mirapack.pt/434-large_default/saco-juta-2-garrafas-c-janela.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;952;4,21;;;;;;;;;;
296;Saco Juta Claro;Saco Juta Claro;in stock;new;1,85;https://loja.mirapack.pt/sacos/296-595-saco-juta-claro.html#/167-dimensoes-36x41x15;https://loja.mirapack.pt/435-large_default/saco-juta-claro.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;782;1,85;;;;;;;;;;
297;Saco Juta Escuro;Saco Juta Escuro;in stock;new;1,85;https://loja.mirapack.pt/sacos/297-596-saco-juta-escuro.html#/167-dimensoes-36x41x15;https://loja.mirapack.pt/436-large_default/saco-juta-escuro.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;1964;1,85;;;;;;;;;;
299;Saco Asa Torcida Natal Vermelho e Dourado;Saco Asa Torcida Natal Vermelho e Dourado;in stock;new;15,99;https://loja.mirapack.pt/sacos/299-604-saco-asa-torcida-natal-vermelho-e-dourado.html#/10-cor-vermelho/170-dimensoes-32x12x42/185-packs-25_un;https://loja.mirapack.pt/437-large_default/saco-asa-torcida-natal-vermelho-e-dourado.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;255;15,99;;;;;;;;;;
302;Saco Asa Torcida Shiny Natal;Saco Asa Torcida Shiny Natal;in stock;new;9,23;https://loja.mirapack.pt/sacos/302-607-saco-asa-torcida-shiny-natal.html#/14-cor-azul/169-dimensoes-28x10x22/185-packs-25_un;https://loja.mirapack.pt/439-large_default/saco-asa-torcida-shiny-natal.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;603;9,23;;;;;;;;;;
303;Saco Asa Torcida Brilho Vermelho;Saco Asa Torcida Brilho Vermelho;in stock;new;22,14;https://loja.mirapack.pt/sacos/303-614-saco-asa-torcida-brilho-vermehlo.html#/10-cor-vermelho/172-dimensoes-24x10x31/185-packs-25_un;https://loja.mirapack.pt/440-large_default/saco-asa-torcida-brilho-vermehlo.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;61;22,14;;;;;;;;;;
304;Saco Asa Torcida Vermelho Estrelas;Saco Asa Torcida Vermelho Estrelas;in stock;new;11,1;https://loja.mirapack.pt/sacos/304-616-saco-asa-torcida-vermelho-estrelas.html#/10-cor-vermelho/174-dimensoes-16x7x215/185-packs-25_un;https://loja.mirapack.pt/441-large_default/saco-asa-torcida-vermelho-estrelas.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;81;11,1;;;;;;;;;;
305;Saco Asa Torcida Prata Brilho;Saco Asa Torcida Prata Brilho;in stock;new;22,14;https://loja.mirapack.pt/sacos/305-620-saco-asa-torcida-prata-brilho.html#/79-cor-prata/172-dimensoes-24x10x31/185-packs-25_un;https://loja.mirapack.pt/442-large_default/saco-asa-torcida-prata-brilho.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;61;22,14;;;;;;;;;;
306;Saco Asa Torcida Ouro Brilho;Saco Asa Torcida Ouro Brilho;in stock;new;22,14;https://loja.mirapack.pt/sacos/306-622-saco-asa-torcida-ouro-brilho.html#/39-cor-ouro/172-dimensoes-24x10x31/185-packs-25_un;https://loja.mirapack.pt/443-large_default/saco-asa-torcida-ouro-brilho.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;30;22,14;;;;;;;;;;
